DATE       TIME          LONG   LAT   DEPTH STK DP  RKE Mom      Mw   CMTNAME
#2021/07/21  21:15:12.9  -82.84   7.37   17.0 172 86  179 1.5e+26  6.72 202107212115A  
#2021/07/23  20:48:57.3  120.60  13.78  119.8 109 45   50 1.2e+26  6.64 202107232048A  
#2021/07/29  06:15:47.5 -157.32  55.42   30.2 236 10   86 3.0e+28  8.24 202107290615A  
#2021/08/11  17:46:14.5  127.03   6.09   44.9  31 49  123 5.5e+26  7.09 202108111746A  
#2021/08/12  18:32:54.5  -24.34 -59.48   20.0 204 14  118 3.1e+28  8.26 202108121832A  
#2021/08/12  18:35:20.3  -25.15 -60.47   15.1 195 22   64 7.8e+27  7.86 202108121835A  
#2021/08/14  11:57:44.4 -157.42  55.21   25.6 243 10   92 4.5e+26  7.03 202108141157A  
#2021/08/14  12:29:09.4  -73.63  18.51   12.0 154 53  146 6.8e+26  7.15 202108141229A  
#2021/08/16  11:10:36.1  -22.84 -58.45   15.5 346 47 -137 2.2e+26  6.83 202108161110A  
#2021/08/18  10:10:05.0  166.84 -14.90  101.3 189 69  171 3.3e+26  6.94 202108181010A  
#2021/08/22  00:45:08.2  -23.63 -60.32   12.0  21 42 -105 1.4e+26  6.69 202108220045A  
#2021/08/22  21:33:20.2  -24.21 -60.56   12.0  37 44  -80 3.7e+26  6.97 202108222133A  
#2021/09/08  01:47:48.5  -99.74  17.03   20.7 277 21   71 3.6e+26  6.97 202109080147A  
#2021/09/22  09:57:08.6  -87.99  11.92   27.3 292 26   64 8.4e+25  6.55 202109220957A  
#2021/10/02  06:29:18.8  174.64 -21.16  546.0 282 45  -29 1.1e+27  7.29 202110020629A  
#2021/10/09  10:58:28.5  174.40 -21.31  531.7 250 69   15 2.9e+26  6.91 202110091058A  
#2021/10/11  09:10:24.7 -156.63  56.45   67.0 100 54   12 2.9e+26  6.91 202110110910A  
#2021/10/02  06:29:18.8  174.64 -21.16  546.0 282 45  -29 1.1e+27  7.29 202110020629A  
#2021/10/09  10:58:28.5  174.40 -21.31  531.7 250 69   15 2.9e+26  6.91 202110091058A  
 2021/10/11  09:10:24.7 -156.63  56.45   67.0 100 54   12 2.9e+26  6.91 202110110910A  
