 DATE       TIME          LONG   LAT   DEPTH STK DP  RKE Mom      Mw   CMTNAME
# -----------------------------------------------------------------------------
 2000/01/08  16:47:20.6 -173.81 -16.84  162.4  79  8  -13 6.9e+26  7.16 010800G        
 2000/01/28  14:21:07.3  146.81  43.08   50.0 163 38   15 2.0e+26  6.79 012800B        
 2000/02/06  11:33:52.3  151.19  -6.06   45.0 232 23   80 9.4e+25  6.58 020600C        
 2000/02/25  01:43:58.6  174.17 -19.55   16.8 315 74  169 5.1e+26  7.07 022500B        
 2000/03/03  22:22:40.7  143.85  -6.92   16.0 315 36  105 8.5e+25  6.55 030300D        
 2000/03/28  11:00:22.5  143.76  22.32   99.7 255  6 -127 3.2e+27  7.60 032800C        
 2000/04/23  09:27:23.3  -63.04 -28.41  607.9 290  5 -150 3.1e+26  6.92 042300B        
 2000/05/04  04:21:16.2  123.59  -1.29   18.6 225 64  172 2.4e+27  7.52 050400A        
 2000/05/12  18:43:18.1  -66.85 -23.72  226.6 214 12  -62 6.6e+26  7.14 051200C        
 2000/06/04  16:28:26.2  101.94  -4.73   43.9  92 55  152 7.5e+27  7.85 060400D        
 2000/06/07  23:45:26.7  101.82  -4.63   16.6 358 34   78 1.3e+26  6.67 060700D        
 2000/06/11  11:55:12.3  139.38 -50.80   15.0 181 76   -1 7.9e+25  6.53 061100C        
 2000/06/18  14:44:13.3   97.17 -13.47   15.0 161 63   -5 7.9e+27  7.86 061800A        
 2000/07/16  03:57:45.6  150.96  -7.54   15.0 276 43  -62 9.4e+25  6.58 071600B        
 2000/08/03  01:09:39.0  166.17 -11.93   51.4 169 40   87 8.9e+25  6.56 080300A        
 2000/08/04  21:13:02.7  142.03  48.77   15.0 328 36   60 1.9e+26  6.79 080400G        
 2000/08/06  07:27:12.9  139.68  28.89  411.3 108 27 -142 1.2e+27  7.31 080600B        
 2000/08/09  11:41:47.9 -102.39  18.13   33.0 291 43   91 7.1e+25  6.50 080900C        
 2000/08/15  04:30:08.8 -179.95 -31.42  367.4 135 35 -152 9.1e+25  6.57 081500C        
 2000/08/28  15:05:47.9  127.59  -4.18   15.0 292 31  116 1.7e+26  6.76 082800E        
 2000/10/04  16:58:44.3  166.77 -15.51   15.0 341 44   94 3.0e+26  6.92 100400G        
 2000/10/06  04:30:19.1  133.20  35.33   15.0 331 83    1 1.2e+26  6.65 100600A        
 2000/10/25  09:32:24.0  105.43  -7.28   45.6 299 27  102 1.7e+26  6.75 102500D        
 2000/10/29  08:37:08.8  153.95  -5.21   92.1 142 27   90 3.0e+26  6.92 102900C        
 2000/11/07  00:18:04.9  -29.24 -55.34   16.0 113 24  103 1.6e+26  6.74 110700A        
 2000/11/16  04:54:56.7  152.79  -4.56   24.0 328 43    3 1.2e+28  7.99 111600B        
 2000/11/16  07:42:16.9  153.17  -5.03   31.2 253 15   93 6.5e+27  7.80 111600C        
 2000/11/17  21:01:56.5  152.34  -5.26   17.0 230 24   64 5.6e+27  7.76 111700Q        
 2000/11/18  02:05:48.8  153.52  -5.24   19.0 160 51   44 1.0e+26  6.60 111800F        
 2000/11/18  06:54:58.3  151.85  -5.43   50.0 243 37   75 1.6e+26  6.73 111800H        
 2000/11/25  18:09:11.4   49.95  40.24   15.0  93  2 -145 1.8e+26  6.77 112500D        
 2000/12/06  17:11:06.4   54.87  39.60   33.0 319 33  136 3.9e+26  6.99 120600C        
 2000/12/06  22:57:40.0  152.87  -4.37   30.0  19 54  137 7.5e+25  6.51 120600E        
 2000/12/18  01:19:21.6 -178.98 -21.11  655.7 172 17 -144 7.6e+25  6.52 121800A        
 2000/12/20  16:49:43.3  154.71  -9.29   15.0  96 87   -2 9.6e+25  6.58 122000H        
 2001/01/01  06:57:04.2  127.07   6.73   44.0 171 45   60 1.7e+27  7.42 010101B        
 2001/01/01  08:54:31.6  127.13   7.12   44.1  34 34  147 1.8e+26  6.77 010101D        
 2001/01/09  16:49:28.0  167.11 -14.90  114.4 183 44  160 4.2e+26  7.01 010901G        
 2001/01/10  16:02:44.2 -153.56  56.99   21.0 224  8   74 3.3e+26  6.94 011001E        
 2001/01/13  17:33:32.4  -89.13  12.97   56.0 121 35  -95 4.6e+27  7.70 011301C        
 2001/01/16  13:25:09.8  101.42  -4.38   20.0 321 14  111 2.0e+26  6.79 011601D        
 2001/01/26  03:16:40.5   70.24  23.63   19.8 298 39  136 3.4e+27  7.62 012601A        
 2001/02/13  14:22:05.8  -88.97  13.98   15.0 276 74  175 8.1e+25  6.54 021301B        
 2001/02/13  19:28:30.3  102.36  -5.40   21.2 315 16  103 1.2e+27  7.31 021301D        
 2001/02/24  07:23:48.7  126.42   1.55   42.8 197 42   78 4.5e+26  7.03 022401A        
 2001/02/28  12:30:14.1  169.87 -22.11   17.0 321 28   94 1.1e+26  6.63 022801E        
 2001/02/28  18:54:32.8 -122.53  47.14   46.8 176 17  -96 1.8e+26  6.76 022801L        
 2001/03/24  06:27:53.6  132.52  33.97   47.4 323 39 -121 2.0e+26  6.79 032401C        
 2001/04/09  09:00:57.2  -73.23 -32.88   15.0 219 44  -86 1.2e+26  6.64 040901A        
 2001/04/19  21:43:42.3  155.79  -7.56   16.0 319 28  113 1.1e+26  6.63 041901I        
 2001/04/28  04:49:53.4 -176.68 -18.07  367.4 106 16  161 2.1e+26  6.81 042801B        
 2001/05/25  00:40:50.6  148.61  44.18   32.0 230 22  113 1.3e+26  6.68 052501B        
 2001/06/03  02:41:57.2 -178.23 -29.37  199.3 227 41  138 6.1e+26  7.12 060301A        
 2001/06/23  20:33:14.1  -72.71 -17.28   29.6 310 18   63 4.7e+28  8.38 062301E        
 2001/06/26  04:18:31.4  -72.02 -17.87   24.0 314 19   75 1.4e+26  6.69 062601D        
 2001/07/05  13:53:48.4  -73.60 -16.07   69.1 118 22  -89 8.0e+25  6.53 070501K        
 2001/07/07  09:38:43.5  -72.45 -17.45   25.0 306 14   52 3.2e+27  7.60 070701F        
 2001/07/28  07:32:43.0 -154.97  58.82  147.0  63 64   26 1.1e+26  6.61 072801A        
 2001/08/06  03:52:59.5 -123.05 -55.67   15.0 104 45  -83 1.4e+26  6.70 080601B        
 2001/08/21  06:52:06.2 -179.08 -36.70   59.0  55 42  116 5.2e+26  7.07 082101B        
 2001/10/12  15:02:16.8  145.08  12.88   42.0 131 30   31 3.7e+26  6.98 101201E        
 2001/10/19  03:28:44.5  124.11  -4.31   18.8 358 77  176 1.9e+27  7.44 101901A        
