DATE       TIME          LONG   LAT   DEPTH STK DP  RKE Mom      Mw   CMTNAME 
2018/11/30 17:29:29.000 -149.96  61.35   46.7   6 28  -93   5.6e+19   7.1 20181130172929A
2021/07/29 06:15:49.000 -157.89  55.36   32.2 239 14   95   2.5e+21   8.2 20210729061549A
2010/04/04 22:40:42.000 -115.30  32.29   10.0 142 84 -172   7.9e+19   7.2 20100404224042A
2011/04/11 08:16:12.020  140.67  36.95    6.4 203 41  -92   1.0e+19   6.6 20110411081612A
2018/05/04 22:32:54.000 -155.00  19.32    5.8  70 45  -90   2.8e+19   6.9 20180504223254A
2016/04/15 16:25:05.470  130.75  32.79   10.0 212 89 -179   4.0e+19   7.0 20160415162505A
2011/03/09 02:45:12.970  143.28  38.33    8.3 193 11   91   1.1e+20   7.3 20110309024512A
2019/07/06 03:19:53.000 -117.60  35.77    8.0 330 90 -180   5.6e+19   7.1 20190706031953A
2019/07/04 17:33:49.000 -117.51  35.70   10.7 330 90 -180   5.0e+18   6.4 20190704173349A
2020/10/19 20:54:38.000 -159.63  54.60   28.4 230 15   90   3.2e+20   7.6 20201019205438A
2020/07/22 06:12:44.000 -158.52  55.03   28.0 230 15   90   6.3e+20   7.8 20200722061244A
2011/03/11 05:46:24.000  142.37  38.30   29.0 193 14   81   5.6e+22   9.1 20110311054624A
2003/09/25 19:50:07.640  144.08  41.78   42.0 193 20   90   3.5e+21   8.3 20030925195007A
